Nivel	Pregunta	OpA	OpB	OpC	OpD	Correcta
7	Si el margen de error es muy pequeño en un IC, ¿qué indica?	Muestra más pequeña	Menor confianza del IC	Mayor precisión del IC	Mayor variabilidad	OpC
7	Si una población tiene un crecimiento natural de 100 y un saldo migratorio de -100, ¿qué ocurre? (Fórmulas permitidas)	La población aumenta	La población no varía	La población disminuye	El saldo migratorio no puede ser negativo	OpB
7	Si una población tiene un crecimiento natural de 200 y un saldo migratorio de -300, ¿qué ocurre? (Fórmulas permitidas)	La población crece en 100	La población decrece en 100	La población se mantiene igual	La población crece en 500	OpB
7	¿Qué mide el coeficiente de determinación?	La fuerza de la relación entre variables	La pendiente de la recta	El error típico de la media	La bondad del ajuste del modelo	OpD
7	¿Qué afirmación sobre el coeficiente de correlación es correcta?	-1 indica correlación perfecta y directa entre variables	0 indica correlación perfecta e inversa entre variables	No puede ser negativo	Si es positivo, las variables cambian en igual sentido	OpD
7	En un IC para la media con desviación típica poblacional desconocida, el error depende de: (Fórmulas permitidas)	La media poblacional	La cuasidesviación típica y n	Solo del tamaño muestral	Solo del nivel de confianza	OpB
7	El estadístico de contraste es un valor que se calcula…	A partir de la media poblacional	A partir de los datos de la muestra	Antes de recoger los datos	Solo si el contraste es unilateral	OpB
7	En una distribución normal, ¿qué ocurre si la desviación típica aumenta?	La curva se hace más alta y estrecha	La curva se desplaza a la derecha	La curva se hace más baja y ancha	La curva no cambia de forma	OpC
7	Un nivel de significación muy pequeño:	Aumenta la probabilidad de rechazar H0	Disminuye la probabilidad de rechazar H0 	Siempre debe ser lo más alto posible para aumentar la precisión	Disminuye el nivel de confianza	OpB
7	En el diagrama de Lexis, ¿qué representa el grupo de personas nacidas en el mismo año?	Un periodo	Una tasa de mortalidad	Un censo	Una generación	OpD
7	Si en una empresa la tasa de rotación de personal es muy alta, lo más probable es que:	Mediana de sueldos alta	Empleados con diferente antigüedad	Media de antigüedad alta	Media de antigüedad baja	OpD
7	¿Qué significa un nivel de confianza del 95%?	Que el parámetro es seguro	Que el 95% de los intervalos construidos contienen el parámetro	Que la muestra es el 95% de la población	Que no existe error	OpB
7	En un contraste bilateral para la media, H1 indica que la media poblacional es:	Igual a un valor dado	Mayor que un valor dado	Menor que un valor dado	Diferente de un valor dado	OpD
7	En un CH con H0: media <= un valor dado, la región de rechazo se sitúa:	En la cola izquierda	En ambas colas	En la cola derecha	En el centro	OpC
7	Si el IC es de 1700 a 1900, la media muestral es:	1800	200	1900	1700	OpA
7	Si una línea de vida termina dentro de un área sombreada, ¿qué indica esto?	Defunción del individuo en esa edad y año	Inmigración del individuo	Nacimiento del individuo	Supervivencia a edad avanzada	OpA
7	Si se observa un gran número de áreas sombreadas para edades tempranas en un diagrama de Lexis, ¿qué significa?	Alta mortalidad infantil	Baja natalidad	Alta inmigración	Alta esperanza de vida	OpA
7	Si se representan los nacimientos de 1985 en el diagrama de Lexis, ¿cómo se muestra?	Línea horizontal	Línea vertical	Área sombreada	Líneas diagonales	OpA
7	Si P(estrés) = 0.3 y se seleccionan 4 empleados, ¿cuál es el número esperado con estrés? (Fórmulas/Calculadora permitidas)	1,2	1	0,9	1,5	OpA
7	Si X~B(3,0.5), ¿cuál es la varianza? (Fórmulas/Calculadora permitidas)	0,75	0,5	1	0,25	OpA
7	Si la tasa de llamadas por hora es 3, ¿cuál es lambda para media hora?	1,5	3	0,5	6	OpA
7	Si X~Poisson con E[X] = 2, ¿cuál es el valor de la varianza? (Fórmulas permitidas)	2	1	3	0,5	OpA
7	Si X~B(5,0.2), ¿cuál es el número esperado de éxitos? (Fórmulas/Calculadora permitidas)	0,2	0,5	5	1	OpD
7	Si el valor experimental de un contraste está dentro de la región de rechazo, entonces:	No se rechaza H0	Se rechaza H0	Se acepta H1 automáticamente	No se puede concluir nada	OpB
8	Si S40 = 450 y S60 = 200, ¿cuál es la probabilidad de sobrevivir de 40 a 60 años? (Calculadora permitida)	0,25	0,44	0,56	0,17	OpB
8	Con S5 = 920 y S20 = 620, ¿cuál es la probabilidad de fallecer entre 5 y 20 años? (Calculadora permitida)	0,081	0,674	0,135	0,326	OpD
8	En una variable aleatoria discreta, si P(X=2) = 0.2, P(X=3) = 0.3 y P(X=5) = 0.5, la probabilidad de X > 2 es:	0,3	0,5	1	0,8	OpD
8	Si P(X=0) = 0.60, P(X=1) = 0.25, P(X=2) = 0.10, P(X=3) = 0.05, ¿cuánto es P(X<2)?	1	0,1	0,95	0,85	OpD
8	Si una población pasa de 10 000 a 12 000 en 5 años, rc es: (Fórmulas/Calculadora permitidas)	0,082	0,041	0,036	0,057	OpC
8	Si una población inicial es 500 y rc = 0.03 anual, ¿cuál será la población después de 10 años? (Fórmulas/Calculadora permitidas)	675	650	700	620	OpA
8	Para rc = 0.02, el tiempo para duplicar la población es: (Fórmulas/Calculadora permitidas)	34.66 años	30.77 años	35.42 años	No se puede calcular	OpA
8	Para rc = 0.01, el tiempo para reducir a la mitad la población es: (Fórmulas/Calculadora permitidas)	69.31 años	-69.31 años	56.89 años	No se puede calcular	OpD
8	El fallo promedio de una máquina es 5 por día. ¿Qué distribución sigue el número de fallos?	Binomial	Poisson	Normal	Uniforme	OpB
8	Se lanza una moneda 10 veces. ¿Qué distribución describe el número de caras?	Normal	Uniforme	Binomial	Poisson	OpC
8	¿Entre qué dos valores está el 20% central de los datos?	Percentiles 0 y 20	Percentiles 20 y 50	Percentiles 20 y 80	Percentiles 40 y 60	OpD
8	¿Qué valor es superado solo por el 20% de los datos?	Percentil 0.2	Percentil 8	Percentil 20	Percentil 80	OpD
8	Si X~Poisson(9), su desviación típica es: (Fórmulas permitidas)	9	6	3	0	OpC
8	Si la covarianza es 0, podemos afirmar que: (Fórmulas permitidas)	No existe relación entre variables	No existe relación lineal entre variables	Las variables son cualitativas	La media es 0	OpB
8	¿Entre qué dos valores está el 40% central de los datos?	Mínimo y percentil 40	Percentiles 30 y 70	Percentil 60 y máximo	Percentiles 40 y 60	OpB
8	¿Por qué la mediana no es sensible a valores extremos?	Porque considera solo valores centrales	Porque considera todos los valores para su cálculo	Porque ignora los valores centrales	Porque se calcula sumando el valor máximo y mínimo y dividiendo entre 2	OpA
8	En una variable continua, ¿cuánto es P(X=x)?	0	Depende del valor	1	Se necesita saber cuánto vale x	OpA
8	En el caso de desviación típica desconocida, la variabilidad poblacional se estima con:	La media muestral	La desviación típica poblacional	La cuasidesviación típica muestral	La desviación típica muestral	OpC
8	No rechazar H0 implica que:	H0 es verdadera con seguridad	H1 es falsa	H0 es falsa	No hay evidencia suficiente para rechazar H0	OpD
8	¿Puede ocurrir que el coeficiente de determinación sea igual al de correlación?	Solo cuando r < 0	Solo cuando r > 0	No, nunca pueden ser iguales	Sí, cuando r = 1 o r = 0	OpD
8	Las medias muestrales se distribuyen:	Uniformemente	Según una distribución normal	Según una distribución binomial	Sin patrón definido	OpB
8	El centro de la distribución de medias muestrales coincide con:	La desviación típica poblacional	El tamaño muestral	La media poblacional	El nivel de confianza	OpC
8	Si f(x) es una función de densidad, ¿cuál es el área total bajo la curva?	1	0	100	Se necesita conocer la función de densidad	OpA
8	¿Qué representa el área bajo la curva de una función de densidad de X en un intervalo?	La media de X en ese intervalo	La probabilidad de X en ese intervalo	La desviación típica de X en ese intervalo	El valor máximo de X en ese intervalo	OpB
8	¿Qué medida de dispersión se ve afectada por valores atípicos?	Moda	Rango intercuartílico	Rango	Mediana	OpC
8	Si la desviación típica es 0, significa que:	Todos los datos son iguales	Todos los datos son distintos	La media es 0	Hay un error en los cálculos	OpA
8	Si un empleado tiene un índice tipificado Z = -1.25, ¿qué indica su posición respecto a la media del grupo?	Coincide con la media	Está por encima de la media	Está por debajo de la media	No se puede determinar	OpC
8	Si aumenta la cuasidesviación típica muestral en un IC para la media, el margen de error: (Fórmulas permitidas)	Disminuye	Aumenta	No cambia	Se hace negativo	OpB
8	¿Qué pasa con la amplitud de un IC para la media al aumentar el tamaño muestral? (Fórmulas permitidas)	Se vuelve más estrecho y preciso	Se vuelve más ancho	No cambia	Desaparece automáticamente	OpA
8	Si aumenta el nivel de confianza, el intervalo: (Fórmulas permitidas)	Se hace más estrecho	Se mantiene igual	Se hace más amplio	Desaparece	OpC
9	Si X~B(4,0.3), ¿cuánto es P(X=3)? (Tablas estadísticas permitidas)	0,9919	0,0756	0,0081	0,1245	OpB
9	Si X~B(4,0.25), ¿cuánto es P(X=0)? (Tablas estadísticas permitidas)	0,1789	0,2527	0,4225	0,3164	OpD
9	Si X~B(7,0.1), ¿cuánto es P(X=2)? (Tablas estadísticas permitidas)	0,4783	0,124	0,372	0,1496	OpB
9	Si X~B(4,0.25), ¿cuánto es P(X<=1)? (Tablas estadísticas/Calculadora permitidas)	0,3169	0,7383	0,4222	0,2581	OpB
9	Si X~B(2,0.5), ¿cuánto es P(X=2)? (Tablas estadísticas permitidas)	0,5	0,25	0,75	1	OpB
9	Si X~B(6,0.3), ¿cuánto es P(X>4)? (Tablas estadísticas/Calculadora permitidas)	0,0429	0,0109	0,1891	0,8571	OpB
9	Si X~B(9,0.5), ¿cuánto es P(X=5)? (Tablas estadísticas permitidas)	0,2051	0,2461	0,3001	0,5	OpB
9	Si X~B(4,0.3), ¿cuánto es P(X>2)? (Tablas estadísticas/Calculadora permitidas)	0,0081	0,0756	0,0837	0,1587	OpC
9	Si X~B(7,0.1), ¿cuánto es P(X<3)? (Tablas estadísticas/Calculadora permitidas)	0,1244	0,1496	0,9743	0,4783	OpC
9	Si X~B(5,0.2), ¿cuánto es P(X<=2)? (Tablas estadísticas/Calculadora permitidas)	0,5125	0,2016	0,9421	0,3451	OpC
9	Si X~Poisson(3), ¿cuánto es P(X=1)? (Tablas estadísticas permitidas)	0,7408	0,2222	0,1494	0,0498	OpC
9	Si X~Poisson(2), ¿cuánto es P(X=0)? (Tablas estadísticas permitidas)	0,2707	0,1353	0,406	0,1954	OpB
9	Si X~Poisson(3), ¿cuánto es P(X=3)? (Tablas estadísticas permitidas)	0,1494	0,224	0,5974	0,9502	OpB
9	Si X~Poisson(1), ¿cuánto es P(X<=1)? (Tablas estadísticas/Calculadora permitidas)	0,2707	0,3679	0,7358	0,5	OpC
9	Si X~Poisson(1.5), ¿cuánto es P(X=1)? (Tablas estadísticas permitidas)	0,251	0,2231	0,3347	0,1255	OpC
9	Si X~Poisson(1.5), ¿cuánto es P(X>=2)? (Tablas estadísticas/Calculadora permitidas)	0,2231	0,5814	0,4422	0,1255	OpC
9	Si X~Poisson(0.5), ¿cuánto es P(X=1)? (Tablas estadísticas permitidas)	0,5	0,6065	0,1839	0,3033	OpD
9	Si X~Poisson(3), ¿cuánto es P(X>=1)? (Tablas estadísticas/Calculadora permitidas)	0,224	0,0498	0,5974	0,9502	OpD
9	Si X~Poisson(3), ¿cuánto es P(1<=X<=3)? (Tablas estadísticas/Calculadora permitidas)	0,1494	0,9502	0,224	0,5974	OpD
9	Si X~Poisson(1.5), ¿cuánto es P(X<=3)? (Tablas estadísticas/Calculadora permitidas)	0,9502	0,0186	0,5974	0,9343	OpD
9	Si Z~N(0,1), ¿cuánto es P(Z>1.5)? (Tablas estadísticas/Calculadora permitidas)	0,1587	0,9332	0,8413	0,0668	OpD
9	Si Z~N(0,1), ¿cuánto es P(Z<-1)? (Tablas estadísticas/Calculadora permitidas)	0,6826	0,8413	0,5	0,1587	OpD
9	Si Z~N(0,1), ¿cuánto es P(Z>1.45)? (Tablas estadísticas/Calculadora permitidas)	0,0735	0,1151	0,8849	0,6826	OpA
9	Si Z~N(0,1), ¿cuánto es P(Z>0.67)? (Tablas estadísticas/Calculadora permitidas)	0,2514	0,7486	0,1587	0,8413	OpA
9	Si Z~N(0,1), ¿cuánto es P(Z> -0.8)? (Tablas estadísticas/Calculadora permitidas)	0,7881	0,2119	0,5	0,8413	OpA
9	Si Z~N(0,1), ¿cuánto es P(Z<-1.96)? (Tablas estadísticas/Calculadora permitidas)	0,025	0,975	0,05	0,95	OpA
9	Si Z~N(0,1), ¿cuánto es P(Z<-1.28)? (Tablas estadísticas/Calculadora permitidas)	0,1003	0,8997	0,2	0,05	OpA
9	Si Z~N(0,1), ¿cuánto es P(Z>0.84)? (Tablas estadísticas/Calculadora permitidas)	0,2004	0,7995	0,159	0,841	OpA
9	Si Z~N(0,1), ¿cuánto es P(Z<1.2)? (Tablas estadísticas/Calculadora permitidas)	0,8849	0,1151	0,5	0,8413	OpA
9	Si Z~N(0,1), ¿cuánto es P(Z<-0.8)? (Tablas estadísticas/Calculadora permitidas)	0,2119	0,7881	0,5	0,8413	OpA
